,id,inning,over,ball,batsman,non_striker,bowler,batsman_runs,extra_runs,total_runs,non_boundary,is_wicket,dismissal_kind,player_dismissed,fielder,extras_type,batting_team,bowling_team
97087,729299,2,17,4,Yuvraj Singh,AB de Villiers,R Vinay Kumar,4,0,4,0,0,,,,,Royal Challengers Bangalore,Kolkata Knight Riders
42197,501200,1,10,7,BB McCullum,DPMD Jayawardene,DP Nannes,1,0,1,0,0,,,,,Kochi Tuskers Kerala,Royal Challengers Bangalore
41939,501199,2,7,3,J Botha,R Dravid,PP Ojha,1,0,1,0,0,,,,,Rajasthan Royals,Deccan Chargers
51294,501239,2,15,2,S Dhawan,DB Ravi Teja,L Balaji,1,0,1,0,0,,,,,Deccan Chargers,Kolkata Knight Riders
122445,980901,1,2,4,HH Pandya,LMP Simmons,RP Singh,1,0,1,0,0,,,,,Mumbai Indians,Rising Pune Supergiants
69749,548354,2,12,5,Gurkeerat Singh,Azhar Mahmood,SW Tait,0,0,0,0,0,,,,,Kings XI Punjab,Rajasthan Royals
77110,598001,2,6,2,DA Warner,DPMD Jayawardene,SK Trivedi,1,0,1,0,0,,,,,Delhi Daredevils,Rajasthan Royals
186692,1216524,1,17,4,KS Williamson,MK Pandey,MP Stoinis,1,0,1,0,0,,,,,Sunrisers Hyderabad,Delhi Capitals
167002,1175365,1,19,1,Kuldeep Yadav,PP Chawla,K Rabada,4,0,4,0,0,,,,,Kolkata Knight Riders,Delhi Capitals
25974,392235,1,3,3,Mohammad Ashraful,SR Tendulkar,AM Salvi,1,0,1,0,0,,,,,Mumbai Indians,Delhi Daredevils
