,id,inning,over,ball,batsman,non_striker,bowler,batsman_runs,extra_runs,total_runs,non_boundary,is_wicket,dismissal_kind,player_dismissed,fielder,extras_type,batting_team,bowling_team
72130,548364,1,8,2,Y Venugopal Rao,Y Nagar,RA Jadeja,1,0,1,0,0,,,,,Delhi Daredevils,Chennai Super Kings
108214,734045,1,14,2,LMP Simmons,RG Sharma,RA Jadeja,1,0,1,0,0,,,,,Mumbai Indians,Chennai Super Kings
148748,1082643,1,15,6,JP Faulkner,RA Jadeja,Rashid Khan,1,0,1,0,0,,,,,Gujarat Lions,Sunrisers Hyderabad
69771,548354,2,16,2,Gurkeerat Singh,AM Nayar,J Botha,4,0,4,0,0,,,,,Kings XI Punjab,Rajasthan Royals
130626,980969,2,8,2,V Kohli,KL Rahul,A Zampa,4,0,4,0,0,,,,,Royal Challengers Bangalore,Rising Pune Supergiants
147716,1082639,2,9,1,G Gambhir,CA Lynn,R Tewatia,1,0,1,0,0,,,,,Kolkata Knight Riders,Kings XI Punjab
92420,598064,2,0,3,Mandeep Singh,SE Marsh,R Rampaul,0,0,0,0,0,,,,,Kings XI Punjab,Royal Challengers Bangalore
121873,829819,2,15,2,DJ Hooda,CH Morris,MA Starc,2,0,2,0,0,,,,,Rajasthan Royals,Royal Challengers Bangalore
170185,1178398,2,11,5,F du Plessis,AT Rayudu,SP Narine,1,0,1,0,0,,,,,Chennai Super Kings,Kolkata Knight Riders
178370,1181766,2,17,5,RR Pant,SE Rutherford,Basil Thampi,1,0,1,0,0,,,,,Delhi Capitals,Sunrisers Hyderabad
10921,336029,1,3,5,V Kohli,SP Goswami,MS Gony,1,0,1,0,0,,,,,Royal Challengers Bangalore,Chennai Super Kings
91989,598063,2,10,1,DH Yagnik,STR Binny,Harbhajan Singh,1,0,1,0,0,,,,,Rajasthan Royals,Mumbai Indians
18929,392206,1,0,3,M Vijay,ML Hayden,DP Nannes,1,0,1,0,0,,,,,Chennai Super Kings,Delhi Daredevils
19480,392208,2,8,6,RV Uthappa,JH Kallis,AM Nayar,1,0,1,0,0,,,,,Royal Challengers Bangalore,Mumbai Indians
83234,598026,2,13,5,MEK Hussey,MS Dhoni,STR Binny,4,0,4,0,0,,,,,Chennai Super Kings,Rajasthan Royals
70300,548356,2,8,5,TM Dilshan,CH Gayle,A Ashish Reddy,0,0,0,0,0,,,,,Royal Challengers Bangalore,Deccan Chargers
189072,1216533,1,4,6,AT Rayudu,SM Curran,BA Stokes,4,0,4,0,0,,,,,Chennai Super Kings,Rajasthan Royals
50520,501236,1,13,1,MS Dhoni,SK Raina,PP Ojha,1,0,1,0,0,,,,,Chennai Super Kings,Deccan Chargers
17619,392201,2,6,5,G Gambhir,TM Dilshan,Shoaib Ahmed,0,0,0,0,1,lbw,G Gambhir,,,Delhi Daredevils,Deccan Chargers
167115,1175366,1,17,5,YK Pathan,DA Warner,Mohammed Siraj,2,0,2,0,0,,,,,Sunrisers Hyderabad,Royal Challengers Bangalore
143946,1082623,1,4,6,DA Warner,S Dhawan,AR Patel,0,0,0,0,0,,,,,Sunrisers Hyderabad,Kings XI Punjab
148540,1082642,1,9,3,MN Samuels,KK Nair,Washington Sundar,1,0,1,0,0,,,,,Delhi Daredevils,Rising Pune Supergiant
22317,392220,1,7,4,A Symonds,RG Sharma,RA Jadeja,0,0,0,0,0,,,,,Deccan Chargers,Rajasthan Royals
138779,1082600,1,15,8,BCJ Cutting,NV Ojha,HH Pandya,1,0,1,0,0,,,,,Sunrisers Hyderabad,Mumbai Indians
54808,501254,2,15,2,Mandeep Singh,DJ Hussey,RA Jadeja,1,0,1,0,0,,,,,Kings XI Punjab,Kochi Tuskers Kerala
11216,336031,1,11,4,RG Sharma,AC Gilchrist,Gagandeep Singh,1,0,1,0,0,,,,,Deccan Chargers,Kings XI Punjab
122797,980903,1,10,7,CH Morris,SV Samson,PP Chawla,1,0,1,0,0,,,,,Delhi Daredevils,Kolkata Knight Riders
53332,501248,1,9,2,KD Karthik,SE Marsh,AA Jhunjhunwala,1,0,1,0,0,,,,,Kings XI Punjab,Pune Warriors
119690,829799,2,10,5,GJ Bailey,DA Miller,MC Henriques,0,0,0,0,0,,,,,Kings XI Punjab,Sunrisers Hyderabad
111817,829729,1,18,5,AT Rayudu,KA Pollard,MM Sharma,6,0,6,0,0,,,,,Mumbai Indians,Chennai Super Kings
83296,598026,2,10,4,MEK Hussey,SK Raina,KK Cooper,4,0,4,0,0,,,,,Chennai Super Kings,Rajasthan Royals
22919,392223,1,0,1,G Gambhir,DA Warner,RP Singh,0,0,0,0,0,,,,,Delhi Daredevils,Deccan Chargers
130141,980965,2,8,6,SS Tiwary,AM Rahane,A Mishra,0,0,0,0,0,,,,,Rising Pune Supergiants,Delhi Daredevils
81922,598021,1,12,5,PP Chawla,DJ Hussey,NLTC Perera,0,0,0,0,0,,,,,Kings XI Punjab,Sunrisers Hyderabad
159187,1136598,1,5,6,JC Buttler,SV Samson,AR Patel,1,0,1,0,0,,,,,Rajasthan Royals,Kings XI Punjab
71496,548361,2,10,2,MEK Hussey,DJ Bravo,J Botha,1,0,1,0,0,,,,,Chennai Super Kings,Rajasthan Royals
149353,1082646,1,8,5,CH Gayle,V Kohli,CJ Anderson,1,0,1,0,0,,,,,Royal Challengers Bangalore,Delhi Daredevils
88361,598048,2,6,3,AB de Villiers,V Kohli,I Sharma,1,0,1,0,0,,,,,Royal Challengers Bangalore,Sunrisers Hyderabad
62504,548322,2,14,5,JD Ryder,SPD Smith,R Ashwin,2,0,2,0,0,,,,,Pune Warriors,Chennai Super Kings
64853,548332,1,10,5,OA Shah,AL Menaria,R Ashwin,1,0,1,0,0,,,,,Rajasthan Royals,Chennai Super Kings
38198,419151,1,16,3,A Symonds,RG Sharma,DW Steyn,0,1,1,0,0,,,,wides,Deccan Chargers,Royal Challengers Bangalore
105559,734023,2,11,2,MK Pandey,RV Uthappa,RA Jadeja,0,0,0,0,0,,,,,Kolkata Knight Riders,Chennai Super Kings
61019,548316,2,3,1,NV Ojha,V Sehwag,R Ashwin,0,0,0,0,0,,,,,Delhi Daredevils,Chennai Super Kings
20998,392215,2,2,6,DA Warner,G Gambhir,SL Malinga,1,0,1,0,0,,,,,Delhi Daredevils,Mumbai Indians
154967,1136580,1,17,1,MS Dhoni,SK Raina,Rashid Khan,0,0,0,0,0,,,,,Chennai Super Kings,Sunrisers Hyderabad
71197,548360,1,13,6,AT Rayudu,KD Karthik,HV Patel,0,0,0,0,1,caught,AT Rayudu,M Muralitharan,,Mumbai Indians,Royal Challengers Bangalore
136694,1082591,2,0,6,Mandeep Singh,CH Gayle,A Nehra,4,0,4,0,0,,,,,Royal Challengers Bangalore,Sunrisers Hyderabad
123225,980907,2,9,4,NV Ojha,MC Henriques,YS Chahal,0,0,0,0,1,caught,NV Ojha,AB de Villiers,,Sunrisers Hyderabad,Royal Challengers Bangalore
41832,501199,1,7,6,JP Duminy,IR Jaggi,SK Trivedi,1,0,1,0,0,,,,,Deccan Chargers,Rajasthan Royals
42959,501203,2,12,2,JP Duminy,B Chipli,Iqbal Abdulla,0,0,0,0,1,caught,JP Duminy,JH Kallis,,Deccan Chargers,Kolkata Knight Riders
157514,1136590,2,19,8,V Shankar,R Tewatia,L Ngidi,1,0,1,0,0,,,,,Delhi Daredevils,Chennai Super Kings
15712,392192,1,15,5,Y Venugopal Rao,DB Ravi Teja,Z Khan,0,0,0,0,0,,,,,Deccan Chargers,Mumbai Indians
125976,980931,2,10,2,AM Rahane,MS Dhoni,T Shamsi,1,0,1,0,0,,,,,Rising Pune Supergiants,Royal Challengers Bangalore
114527,829751,1,15,3,KA Pollard,AT Rayudu,DW Steyn,2,0,2,0,0,,,,,Mumbai Indians,Sunrisers Hyderabad
22845,392222,1,13,2,K Goel,LA Pomersbach,JP Duminy,1,0,1,0,0,,,,,Kings XI Punjab,Mumbai Indians
171236,1178403,2,18,6,AB de Villiers,MP Stoinis,Mohammed Shami,6,0,6,0,0,,,,,Royal Challengers Bangalore,Kings XI Punjab
77499,598002,1,15,6,KA Pollard,Harbhajan Singh,R Ashwin,0,0,0,0,0,,,,,Mumbai Indians,Chennai Super Kings
112528,829735,1,18,6,DJ Bravo,MS Dhoni,JP Faulkner,3,0,3,0,0,,,,,Chennai Super Kings,Rajasthan Royals
151301,1136564,2,5,3,KS Williamson,S Dhawan,B Laughlin,1,0,1,0,0,,,,,Sunrisers Hyderabad,Rajasthan Royals
109776,829711,2,13,1,DA Warner,RS Bopara,R Ashwin,0,0,0,0,0,,,,,Sunrisers Hyderabad,Chennai Super Kings
33619,419132,2,2,5,S Dhawan,SR Tendulkar,IK Pathan,2,0,2,0,0,,,,,Mumbai Indians,Kings XI Punjab
1104,335986,2,13,5,DJ Hussey,Mohammad Hafeez,A Symonds,1,0,1,0,0,,,,,Kolkata Knight Riders,Deccan Chargers
165980,1175361,2,12,3,MA Agarwal,DA Miller,PP Chawla,0,1,1,0,0,,,,legbyes,Kings XI Punjab,Kolkata Knight Riders
182656,1216507,1,9,1,MK Pandey,DA Warner,R Tewatia,1,0,1,0,0,,,,,Sunrisers Hyderabad,Rajasthan Royals
190876,1216541,1,6,3,Ishan Kishan,SA Yadav,S Gopal,0,0,0,0,0,,,,,Mumbai Indians,Rajasthan Royals
51656,501241,1,2,4,AT Rayudu,SR Tendulkar,AC Thomas,0,0,0,0,0,,,,,Mumbai Indians,Pune Warriors
2409,335992,2,5,5,SR Watson,GC Smith,Z Khan,1,0,1,0,0,,,,,Rajasthan Royals,Royal Challengers Bangalore
192161,1216546,2,7,1,N Pooran,GJ Maxwell,R Ashwin,4,0,4,0,0,,,,,Kings XI Punjab,Delhi Capitals
128025,980947,2,0,2,RG Sharma,PA Patel,JD Unadkat,6,0,6,0,0,,,,,Mumbai Indians,Kolkata Knight Riders
114432,829751,1,0,2,LMP Simmons,PA Patel,TA Boult,2,0,2,0,0,,,,,Mumbai Indians,Sunrisers Hyderabad
30281,419119,1,17,3,Harbhajan Singh,R Sathish,DW Steyn,0,0,0,0,0,,,,,Mumbai Indians,Royal Challengers Bangalore
74506,548374,2,4,3,UBT Chand,DA Warner,P Awana,0,0,0,0,0,,,,,Delhi Daredevils,Kings XI Punjab
42501,501201,2,2,4,SR Tendulkar,AT Rayudu,AB Dinda,1,0,1,0,0,,,,,Mumbai Indians,Delhi Daredevils
180677,1216499,1,1,4,JR Philippe,D Padikkal,JJ Bumrah,4,0,4,0,0,,,,,Royal Challengers Bangalore,Mumbai Indians
161486,1136607,1,16,1,HH Pandya,KH Pandya,JD Unadkat,2,0,2,0,0,,,,,Mumbai Indians,Rajasthan Royals
48137,501226,2,18,2,Yuvraj Singh,NL McCullum,JA Morkel,2,0,2,0,0,,,,,Pune Warriors,Chennai Super Kings
89749,598053,1,17,5,MK Tiwary,RN ten Doeschate,WD Parnell,4,0,4,0,0,,,,,Kolkata Knight Riders,Pune Warriors
185788,1216520,1,3,3,Shubman Gill,EJG Morgan,Mohammed Shami,1,0,1,0,0,,,,,Kolkata Knight Riders,Kings XI Punjab
4040,335999,1,10,1,RG Sharma,Shahid Afridi,IK Pathan,0,0,0,0,0,,,,,Deccan Chargers,Kings XI Punjab
55864,501259,2,1,5,S Dhawan,S Sohal,WD Parnell,4,0,4,0,0,,,,,Deccan Chargers,Pune Warriors
20581,392213,2,14,1,RA Jadeja,NV Ojha,P Kumar,0,0,0,0,0,,,,,Rajasthan Royals,Royal Challengers Bangalore
124684,980919,2,15,2,GJ Maxwell,DA Miller,NLTC Perera,0,0,0,0,0,,,,,Kings XI Punjab,Rising Pune Supergiants
173677,1178413,2,0,7,DA Warner,JM Bairstow,HF Gurney,1,0,1,0,0,,,,,Sunrisers Hyderabad,Kolkata Knight Riders
69955,548355,1,6,1,M Vijay,SK Raina,RP Singh,0,0,0,0,0,,,,,Chennai Super Kings,Mumbai Indians
10383,336027,2,6,3,M Kaif,SR Watson,AB Agarkar,1,0,1,0,0,,,,,Rajasthan Royals,Kolkata Knight Riders
165852,1175360,2,11,5,MS Dhoni,KM Jadhav,KMA Paul,0,0,0,0,0,,,,,Chennai Super Kings,Delhi Capitals
35873,419142,2,12,3,KA Pollard,R Sathish,R Ashwin,0,0,0,0,0,,,,,Mumbai Indians,Chennai Super Kings
103010,734001,2,3,2,AT Rayudu,LMP Simmons,B Kumar,4,0,4,0,0,,,,,Mumbai Indians,Sunrisers Hyderabad
8848,336019,1,14,6,SE Marsh,Yuvraj Singh,SK Trivedi,1,0,1,0,0,,,,,Kings XI Punjab,Rajasthan Royals
64884,548332,2,15,5,F du Plessis,SK Raina,A Singh,2,0,2,0,0,,,,,Chennai Super Kings,Rajasthan Royals
56218,501261,1,1,6,MEK Hussey,M Vijay,S Sreesanth,0,0,0,0,0,,,,,Chennai Super Kings,Kochi Tuskers Kerala
105809,734025,1,0,7,V Sehwag,M Vohra,P Kumar,0,0,0,0,0,,,,,Kings XI Punjab,Mumbai Indians
53410,501248,2,8,3,MK Pandey,RV Uthappa,BA Bhatt,0,4,4,0,0,,,,byes,Pune Warriors,Kings XI Punjab
83289,598026,2,9,3,MEK Hussey,SK Raina,SK Trivedi,4,0,4,0,0,,,,,Chennai Super Kings,Rajasthan Royals
117861,829783,2,7,3,RG Sharma,AT Rayudu,A Mishra,0,0,0,0,0,,,,,Mumbai Indians,Delhi Daredevils
148992,1082644,1,18,2,KA Pollard,AT Rayudu,Kuldeep Yadav,1,0,1,0,0,,,,,Mumbai Indians,Kolkata Knight Riders
14340,392185,1,19,7,JA Morkel,A Flintoff,DW Steyn,0,0,0,0,1,bowled,JA Morkel,,,Chennai Super Kings,Royal Challengers Bangalore
151495,1136565,1,1,1,CA Lynn,SP Narine,Harbhajan Singh,0,0,0,0,0,,,,,Kolkata Knight Riders,Chennai Super Kings
65624,548335,2,14,5,MK Tiwary,JH Kallis,V Pratap Singh,1,0,1,0,0,,,,,Kolkata Knight Riders,Deccan Chargers
119917,829801,1,7,5,SK Raina,DR Smith,GS Sandhu,1,0,1,0,0,,,,,Chennai Super Kings,Delhi Daredevils
151816,1136567,2,9,3,MK Pandey,Shakib Al Hasan,KH Pandya,1,0,1,0,0,,,,,Sunrisers Hyderabad,Mumbai Indians
53719,501250,2,14,4,SC Ganguly,Yuvraj Singh,DW Steyn,0,0,0,0,0,,,,,Pune Warriors,Deccan Chargers
16866,392197,2,1,2,CH Gayle,BB McCullum,SL Malinga,1,0,1,0,0,,,,,Kolkata Knight Riders,Mumbai Indians
192232,1216546,2,14,1,DJ Hooda,GJ Maxwell,AR Patel,0,0,0,0,0,,,,,Kings XI Punjab,Delhi Capitals
5472,336004,2,18,3,VY Mahesh,GD McGrath,DS Kulkarni,1,0,1,0,0,,,,,Delhi Daredevils,Mumbai Indians
40076,419159,1,14,6,SE Marsh,IK Pathan,JA Morkel,0,0,0,0,0,,,,,Kings XI Punjab,Chennai Super Kings
76372,597998,2,3,5,JH Kallis,G Gambhir,A Nehra,4,0,4,0,0,,,,,Kolkata Knight Riders,Delhi Daredevils
98382,729311,1,5,2,AJ Finch,KL Rahul,R Ashwin,1,0,1,0,0,,,,,Sunrisers Hyderabad,Chennai Super Kings
112473,829735,2,3,1,AM Rahane,SR Watson,MM Sharma,0,0,0,0,0,,,,,Rajasthan Royals,Chennai Super Kings
179441,1216493,2,19,2,MA Agarwal,CJ Jordan,MP Stoinis,2,0,2,0,0,,,,,Kings XI Punjab,Delhi Capitals
36651,419145,1,1,4,JH Kallis,MK Pandey,Harmeet Singh,6,0,6,0,0,,,,,Royal Challengers Bangalore,Deccan Chargers
464,335983,2,5,7,JR Hopes,KC Sangakkara,MS Gony,0,1,1,0,0,,,,wides,Kings XI Punjab,Chennai Super Kings
40376,419160,2,10,5,PD Collingwood,M Manhas,Harmeet Singh,0,1,1,0,0,,,,wides,Delhi Daredevils,Deccan Chargers
29328,419115,1,14,1,DR Martyn,YK Pathan,A Kumble,0,0,0,0,1,run out,YK Pathan,V Kohli,,Rajasthan Royals,Royal Challengers Bangalore
76989,598000,1,11,6,CL White,PA Reddy,R Sharma,1,0,1,0,0,,,,,Sunrisers Hyderabad,Pune Warriors
104335,734013,1,0,2,DR Smith,BB McCullum,M Muralitharan,1,0,1,0,0,,,,,Chennai Super Kings,Royal Challengers Bangalore
102590,733999,2,14,1,SPD Smith,JP Faulkner,VR Aaron,4,0,4,0,0,,,,,Rajasthan Royals,Royal Challengers Bangalore
93361,598069,1,18,4,YK Pathan,SP Narine,DW Steyn,6,0,6,0,0,,,,,Kolkata Knight Riders,Sunrisers Hyderabad
102439,733997,2,7,4,MK Pandey,G Gambhir,R Dhawan,1,0,1,0,0,,,,,Kolkata Knight Riders,Kings XI Punjab
19538,392208,1,19,2,AM Nayar,DJ Bravo,D du Preez,4,0,4,0,0,,,,,Mumbai Indians,Royal Challengers Bangalore
48515,501228,1,18,4,JE Taylor,Yuvraj Singh,DE Bollinger,0,0,0,0,0,,,,,Pune Warriors,Chennai Super Kings
149082,1082644,2,12,2,MK Pandey,C de Grandhomme,HH Pandya,1,0,1,0,0,,,,,Kolkata Knight Riders,Mumbai Indians
14890,392188,2,10,2,R Dravid,KP Pietersen,PP Ojha,1,0,1,0,0,,,,,Royal Challengers Bangalore,Deccan Chargers
98029,729307,2,5,1,JH Kallis,CA Lynn,L Balaji,0,0,0,0,1,caught,JH Kallis,GJ Maxwell,,Kolkata Knight Riders,Kings XI Punjab
147608,1082638,2,16,7,V Shankar,S Dhawan,SL Malinga,1,0,1,0,0,,,,,Sunrisers Hyderabad,Mumbai Indians
59114,548308,2,11,6,SA Yadav,JEC Franklin,B Kumar,0,0,0,0,0,,,,,Mumbai Indians,Pune Warriors
101227,733987,1,16,5,GJ Maxwell,GJ Bailey,IC Pandey,1,0,1,0,0,,,,,Kings XI Punjab,Chennai Super Kings
116918,829775,1,15,3,RG Sharma,LMP Simmons,AR Patel,2,0,2,0,0,,,,,Mumbai Indians,Kings XI Punjab
4136,335999,2,6,1,KC Sangakkara,SE Marsh,D Kalyankrishna,0,0,0,0,0,,,,,Kings XI Punjab,Deccan Chargers
175611,1178421,2,3,6,PA Patel,V Kohli,K Rabada,0,0,0,0,0,,,,,Royal Challengers Bangalore,Delhi Capitals
47449,501223,2,19,6,AM Nayar,RJ Harris,AB Agarkar,0,1,1,0,0,,,,legbyes,Kings XI Punjab,Delhi Daredevils
88439,598048,1,0,3,PA Reddy,PA Patel,RP Singh,4,0,4,0,0,,,,,Sunrisers Hyderabad,Royal Challengers Bangalore
175307,1178419,2,17,4,MJ Santner,Imran Tahir,SL Malinga,0,0,0,0,1,caught,MJ Santner,KA Pollard,,Chennai Super Kings,Mumbai Indians
79643,598011,2,16,6,B Kumar,R Sharma,MG Johnson,0,0,0,0,0,,,,,Pune Warriors,Mumbai Indians
90159,598055,2,4,1,KD Karthik,SR Tendulkar,BAW Mendis,0,0,0,0,0,,,,,Mumbai Indians,Pune Warriors
145603,1082630,2,8,4,SS Iyer,RR Pant,Rashid Khan,0,0,0,0,0,,,,,Delhi Daredevils,Sunrisers Hyderabad
144392,1082625,1,16,5,AJ Tye,JP Faulkner,JJ Bumrah,0,0,0,0,0,,,,,Gujarat Lions,Mumbai Indians
103980,734009,2,2,1,RV Uthappa,G Gambhir,Harbhajan Singh,1,0,1,0,0,,,,,Kolkata Knight Riders,Mumbai Indians
81697,598020,1,13,4,MEK Hussey,MS Dhoni,M Morkel,1,0,1,0,0,,,,,Chennai Super Kings,Delhi Daredevils
95681,729287,2,8,3,PA Patel,AB de Villiers,PP Ojha,0,0,0,0,0,,,,,Royal Challengers Bangalore,Mumbai Indians
130583,980969,1,1,6,UT Khawaja,AM Rahane,Parvez Rasool,0,0,0,0,0,,,,,Rising Pune Supergiants,Royal Challengers Bangalore
894,335985,2,19,4,B Akhil,MV Boucher,DS Kulkarni,0,0,0,0,0,,,,,Royal Challengers Bangalore,Mumbai Indians
183426,1216510,2,12,3,S Dube,Washington Sundar,GJ Maxwell,1,0,1,0,0,,,,,Royal Challengers Bangalore,Kings XI Punjab
177025,1178427,1,8,5,N Pooran,MA Agarwal,SP Narine,1,0,1,0,0,,,,,Kings XI Punjab,Kolkata Knight Riders
52723,501245,1,15,2,S Badrinath,JA Morkel,Iqbal Abdulla,1,0,1,0,0,,,,,Chennai Super Kings,Kolkata Knight Riders
16533,392196,2,6,3,HH Gibbs,VVS Laxman,M Muralitharan,1,0,1,0,0,,,,,Deccan Chargers,Chennai Super Kings
157290,1136590,1,17,5,AT Rayudu,MS Dhoni,LE Plunkett,6,0,6,0,0,,,,,Chennai Super Kings,Delhi Daredevils
141698,1082612,1,12,7,GJ Maxwell,HM Amla,KH Pandya,1,0,1,0,0,,,,,Kings XI Punjab,Mumbai Indians
147726,1082639,2,10,5,CA Lynn,MK Pandey,AR Patel,1,0,1,0,0,,,,,Kolkata Knight Riders,Kings XI Punjab
64054,548329,1,17,4,JP Duminy,CL White,IK Pathan,1,0,1,0,0,,,,,Deccan Chargers,Delhi Daredevils
103460,734005,1,17,6,S Rana,Yuvraj Singh,Mohammed Shami,0,0,0,0,0,,,,,Royal Challengers Bangalore,Delhi Daredevils
152093,1136568,2,15,2,Mandeep Singh,AB de Villiers,AJ Tye,1,0,1,0,0,,,,,Royal Challengers Bangalore,Kings XI Punjab
99888,733975,2,17,1,SR Watson,KK Nair,WD Parnell,1,0,1,0,0,,,,,Rajasthan Royals,Delhi Daredevils
191330,1216543,1,3,5,SS Iyer,S Dhawan,Kartik Tyagi,0,0,0,0,0,,,,,Delhi Capitals,Rajasthan Royals
132390,980983,2,1,6,Q de Kock,MA Agarwal,A Nehra,0,0,0,0,0,,,,,Delhi Daredevils,Sunrisers Hyderabad
192518,1237177,1,19,5,HH Pandya,Ishan Kishan,A Nortje,0,1,1,0,0,,,,byes,Mumbai Indians,Delhi Capitals
49915,501234,1,4,6,SE Marsh,AC Gilchrist,YK Pathan,0,0,0,0,0,,,,,Kings XI Punjab,Kolkata Knight Riders
51228,501239,1,11,3,G Gambhir,YK Pathan,PP Ojha,4,0,4,0,0,,,,,Kolkata Knight Riders,Deccan Chargers
186467,1216523,1,0,5,Shubman Gill,RA Tripathi,Mohammed Shami,0,0,0,0,0,,,,,Kolkata Knight Riders,Kings XI Punjab
176907,1178427,2,9,5,Shubman Gill,RV Uthappa,SM Curran,0,0,0,0,0,,,,,Kolkata Knight Riders,Kings XI Punjab
42816,501203,2,2,1,IR Jaggi,S Dhawan,Iqbal Abdulla,0,0,0,0,0,,,,,Deccan Chargers,Kolkata Knight Riders
71098,548360,1,17,4,Harbhajan Singh,KA Pollard,M Muralitharan,1,0,1,0,0,,,,,Mumbai Indians,Royal Challengers Bangalore
154834,1136580,2,15,2,KS Williamson,YK Pathan,DJ Bravo,1,0,1,0,0,,,,,Sunrisers Hyderabad,Chennai Super Kings
107314,734037,2,8,6,RV Uthappa,YK Pathan,JO Holder,1,0,1,0,0,,,,,Kolkata Knight Riders,Sunrisers Hyderabad
157581,1136591,2,3,6,KA Pollard,JP Duminy,UT Yadav,0,1,1,0,0,,,,wides,Mumbai Indians,Royal Challengers Bangalore
66936,548343,2,4,5,F du Plessis,S Badrinath,P Awana,4,0,4,0,0,,,,,Chennai Super Kings,Kings XI Punjab
180153,1216497,1,10,5,SP Narine,N Rana,MP Stoinis,0,1,1,0,0,,,,legbyes,Kolkata Knight Riders,Delhi Capitals
183615,1216511,1,6,2,RG Sharma,SA Yadav,Kartik Tyagi,1,0,1,0,0,,,,,Mumbai Indians,Rajasthan Royals
156119,1136585,2,5,4,KL Rahul,CH Gayle,S Kaul,1,0,1,0,0,,,,,Kings XI Punjab,Sunrisers Hyderabad
151640,1136566,1,4,4,SV Samson,AM Rahane,TA Boult,6,0,6,0,0,,,,,Rajasthan Royals,Delhi Daredevils
102362,733997,1,15,2,DA Miller,GJ Bailey,UT Yadav,0,0,0,0,1,bowled,DA Miller,,,Kings XI Punjab,Kolkata Knight Riders
142896,1082617,1,12,3,CR Woakes,SA Yadav,P Negi,0,0,0,0,0,,,,,Kolkata Knight Riders,Royal Challengers Bangalore
44089,501208,1,12,6,B Chipli,KC Sangakkara,S Aravind,1,0,1,0,0,,,,,Deccan Chargers,Royal Challengers Bangalore
146824,1082635,2,11,5,A Mishra,Z Khan,KV Sharma,0,0,0,0,0,,,,,Delhi Daredevils,Mumbai Indians
34672,419137,1,16,4,JA Morkel,M Vijay,SK Warne,0,0,0,0,0,,,,,Chennai Super Kings,Rajasthan Royals
146748,1082635,1,0,3,LMP Simmons,PA Patel,Z Khan,1,0,1,0,0,,,,,Mumbai Indians,Delhi Daredevils
154893,1136580,1,5,2,F du Plessis,SK Raina,S Kaul,0,0,0,0,0,,,,,Chennai Super Kings,Sunrisers Hyderabad
34001,419134,1,5,3,PD Collingwood,G Gambhir,S Narwal,1,0,1,0,0,,,,,Delhi Daredevils,Rajasthan Royals
110965,829721,2,8,2,AM Rahane,SPD Smith,J Suchith,2,0,2,0,0,,,,,Rajasthan Royals,Mumbai Indians
56159,501261,1,12,1,WP Saha,MEK Hussey,RA Jadeja,1,0,1,0,0,,,,,Chennai Super Kings,Kochi Tuskers Kerala
179506,1216494,2,3,2,AJ Finch,D Padikkal,M Prasidh Krishna,0,0,0,0,0,,,,,Royal Challengers Bangalore,Kolkata Knight Riders
44391,501209,2,7,3,G Gambhir,JH Kallis,SK Warne,4,0,4,0,0,,,,,Kolkata Knight Riders,Rajasthan Royals
175537,1178420,1,17,6,WP Saha,Shakib Al Hasan,O Thomas,0,0,0,0,1,caught,WP Saha,SV Samson,,Sunrisers Hyderabad,Rajasthan Royals
22405,392220,2,8,4,YK Pathan,SA Asnodkar,A Symonds,1,0,1,0,0,,,,,Rajasthan Royals,Deccan Chargers
154405,1136578,1,9,2,CA Lynn,N Rana,Mujeeb Ur Rahman,1,0,1,0,0,,,,,Kolkata Knight Riders,Kings XI Punjab
70643,548358,1,19,2,M Manhas,SPD Smith,SW Tait,0,0,0,0,1,bowled,M Manhas,,,Pune Warriors,Rajasthan Royals
11468,336032,2,12,1,MK Tiwary,KD Karthik,DR Smith,1,0,1,0,0,,,,,Delhi Daredevils,Mumbai Indians
179079,1216492,2,13,6,AT Rayudu,F du Plessis,JL Pattinson,1,0,1,0,0,,,,,Chennai Super Kings,Mumbai Indians
77451,598002,2,7,3,DJ Bravo,MEK Hussey,Harbhajan Singh,1,0,1,0,0,,,,,Chennai Super Kings,Mumbai Indians
48702,501229,1,19,6,MS Gony,DB Ravi Teja,NLTC Perera,0,1,1,0,0,,,,byes,Deccan Chargers,Kochi Tuskers Kerala
4329,336000,1,12,1,YK Pathan,RA Jadeja,AB Dinda,4,0,4,0,0,,,,,Rajasthan Royals,Kolkata Knight Riders
154787,1136579,1,6,3,SS Iyer,RR Pant,Mohammed Siraj,1,0,1,0,0,,,,,Delhi Daredevils,Royal Challengers Bangalore
60914,548315,2,13,4,SS Tiwary,R Vinay Kumar,R Bhatia,1,0,1,0,0,,,,,Royal Challengers Bangalore,Kolkata Knight Riders
102904,734001,1,5,6,AJ Finch,KL Rahul,PP Ojha,4,0,4,0,0,,,,,Sunrisers Hyderabad,Mumbai Indians
84535,598032,1,0,2,PA Reddy,S Dhawan,A Chandila,0,0,0,0,0,,,,,Sunrisers Hyderabad,Rajasthan Royals
130753,980971,1,9,6,MP Stoinis,WP Saha,CR Brathwaite,2,0,2,0,0,,,,,Kings XI Punjab,Delhi Daredevils
100060,733977,2,5,5,RR Rossouw,CH Gayle,B Kumar,0,0,0,0,0,,,,,Royal Challengers Bangalore,Sunrisers Hyderabad
128972,980955,1,15,5,WP Saha,DA Miller,JP Faulkner,1,0,1,0,0,,,,,Kings XI Punjab,Gujarat Lions
